snapshot_week,cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-24,EPA2808,Extra,17799,0,0,0,0,12800,0,12800,2025-11,1.0,100.0,2025-11
2025-11-24,EPA2908,Extra,2746,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-24,EPA2909,Extra,15900,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-24,EPA3005,Extra,13603,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,FUTURE FORM 2,Extra,17961,0,0,0,0,3504,9205,12709,2025-11,1.0,100.0,2025-11
2025-11-24,GRAFENO,Extra,4408,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-24,LAN0209,Extra,3199,0,0,0,0,0,1199,1199,2026-01,1.0,100.0,2026-01
2025-11-24,LAN0210,Extra,24583,0,0,0,0,449,8226,8675,2025-11,1.0,100.0,2025-11
2025-11-24,LAN0310,Extra,3778,0,0,0,0,0,1868,1868,2025-12,1.0,100.0,2025-12
2025-11-24,LAN0710,Extra,4995,0,0,0,0,4995,0,4995,2025-12,1.0,100.0,2025-12
2025-11-24,LAN1010,Extra,7153,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,LAN1509,Extra,73561,0,0,0,0,0,8781,8781,2025-11,1.0,100.0,2025-11
2025-11-24,LAN1908,Extra,2400,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,LAN2209,Extra,5061,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-24,LAN2410,Extra,57937,0,0,0,0,1590,3064,4654,2026-03,1.0,100.0,2026-03
2025-11-24,LAN2509,Extra,10210,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-24,LAN2609,Extra,1200,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,LANFUTUREFORM2,Extra,7552,3951,0,400,4701,350,2351,2701,2025-11,0.37751588983050843,37.8,2025-11
2025-11-24,NEXTECH,Extra,40014,0,0,0,0,25405,0,25405,2025-11,1.0,100.0,2025-11
2025-11-24,NP Casacos,Extra,3322,0,0,0,0,3322,0,3322,2025-11,1.0,100.0,2025-11
2025-11-24,REPLAN0509,Extra,9000,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-24,REPLAN2708,Extra,14998,0,0,0,0,0,14998,14998,2025-12,1.0,100.0,2025-12
2025-11-24,THE PERFECT TOP - VARIAÇÕES,Extra,64918,0,0,0,0,3538,35444,38982,2025-12,1.0,100.0,2025-12
2025-11-24,THE PERFECT TOP - VARIA�ÕES,Extra,61380,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-24,UW FEMININA - NOVO DROP - Revisada,Extra,66346,0,0,0,0,8435,31513,39948,2025-12,1.0,100.0,2025-12
2025-11-24,Whateverproof / LifeProof,Extra,8642,0,0,0,0,7478,994,8472,2025-12,1.0,100.0,2025-12
2025-12-01,Alocação extra Adapt Fit,Extra,17600,250,0,0,250,0,6250,6250,2025-11,0.9857954545454546,98.6,2025-11
2025-12-01,BOLD 2 - Revisada,Extra,84506,22841,0,0,22841,23925,36670,60595,2026-01,0.7297114997751639,73.0,2026-01
2025-12-01,C012026B,Base,394640,5417,0,2675,10106,98014,160883,258897,2026-01,0.9743918508007298,97.4,2026-01
2025-12-01,C022026,Base,361086,2042,0,4137,16885,49880,15024,59852,2026-02,0.9532382867239384,95.3,2026-02
2025-12-01,C032026,Base,299397,0,0,4697,7267,1500,23238,24738,2026-03,0.9757278797048735,97.6,2026-03
2025-12-01,C112025,Base,709871,2498,0,2888,11729,80699,233742,314441,2025-11,0.9834772796747578,98.3,2025-11
2025-12-01,C122025,Base,536059,2502,0,7606,13684,100834,233676,334510,2025-12,0.9744729591332297,97.4,2025-12
2025-12-01,C2-Calcinhas_Red,Extra,7634,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-01,C2-Core-extra,Extra,6460,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-01,Café lab,Extra,16091,0,0,0,0,2503,850,3353,2025-11,1.0,100.0,2025-11
2025-12-01,EPA0212,Extra,4108,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-01,EPA0309,Extra,7860,0,0,0,0,2000,3806,5806,2025-12,1.0,100.0,2025-12
2025-12-01,EPA0711,Extra,37397,12496,0,353,14908,0,0,0,2026-01,0.6013583977324384,60.1,2026-01
2025-12-01,EPA08TPT,Extra,29998,0,0,0,0,0,9999,9999,2025-11,1.0,100.0,2025-11
2025-12-01,EPA1011,Extra,16747,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-01,EPA1111,Extra,3476,0,0,452,766,0,0,0,2025-12,0.7796317606444189,78.0,2025-12
2025-12-01,EPA1209,Extra,2368,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-12-01,EPA1308,Extra,628,0,0,0,0,0,628,628,2025-11,1.0,100.0,2025-11
2025-12-01,EPA1311,Extra,400,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-01,EPA1411,Extra,3460,0,0,0,0,0,3460,3460,2025-12,1.0,100.0,2025-12
2025-12-01,EPA1510,Extra,17749,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-01,EPA1609,Extra,12599,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-12-01,EPA1711,Extra,335,0,0,0,0,0,335,335,2025-12,1.0,100.0,2025-12
2025-12-01,EPA1811,Extra,12056,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-01,EPA1908,Extra,1092,0,0,0,0,0,1092,1092,2025-12,1.0,100.0,2025-12
2025-12-01,EPA2010,Extra,437,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-01,EPA2111,Extra,12112,0,0,0,0,0,639,639,2026-01,1.0,100.0,2026-01
2025-12-01,EPA2411,Extra,11499,0,0,849,3300,0,1500,1500,2025-12,0.7130185233498565,71.3,2025-12
2025-12-01,EPA2511,Extra,7999,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-12-01,EPA2609,Extra,12604,0,0,0,0,0,12604,12604,2025-11,1.0,100.0,2025-11
2025-12-01,EPA2706,Extra,75678,0,0,0,0,64608,5153,69761,2025-11,1.0,100.0,2025-11
2025-12-01,EPA2710,Extra,9,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-12-01,EPA2808,Extra,17799,0,0,0,0,12800,0,12800,2025-11,1.0,100.0,2025-11
2025-12-01,EPA2908,Extra,2746,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-12-01,EPA2909,Extra,15900,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-12-01,EPA3005,Extra,13603,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-12-01,FUTURE FORM 2,Extra,17961,0,0,0,0,3504,9205,12709,2025-11,1.0,100.0,2025-11
2025-12-01,GRAFENO,Extra,4408,0,0,0,0,0,4408,4408,2026-01,1.0,100.0,2026-01
2025-12-01,LAN0112,Extra,2015,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-12-01,LAN0209,Extra,3199,0,0,0,0,0,1199,1199,2026-01,1.0,100.0,2026-01
2025-12-01,LAN0210,Extra,24583,0,0,0,0,449,8602,9051,2025-11,1.0,100.0,2025-11
2025-12-01,LAN0310,Extra,3778,0,0,0,0,0,1868,1868,2025-12,1.0,100.0,2025-12
2025-12-01,LAN0710,Extra,4995,0,0,0,0,4995,0,4995,2025-12,1.0,100.0,2025-12
2025-12-01,LAN1010,Extra,7153,0,0,0,0,0,2499,2499,2025-12,1.0,100.0,2025-12
2025-12-01,LAN1509,Extra,73561,0,0,0,0,0,8781,8781,2025-11,1.0,100.0,2025-11
2025-12-01,LAN1908,Extra,2400,0,0,0,0,0,1200,1200,2025-12,1.0,100.0,2025-12
2025-12-01,LAN2209,Extra,5061,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-01,LAN2410,Extra,57937,0,0,0,0,2040,2298,4338,2026-03,1.0,100.0,2026-03
2025-12-01,LAN2509,Extra,10210,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-12-01,LAN2609,Extra,1200,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-12-01,LANFUTUREFORM2,Extra,7552,3951,0,400,4701,350,2351,2701,2025-11,0.37751588983050843,37.8,2025-11
2025-12-01,NEXTECH,Extra,40014,0,0,0,0,25405,4334,29739,2025-11,1.0,100.0,2025-11
2025-12-01,NP Casacos,Extra,3322,0,0,0,0,3322,0,3322,2025-11,1.0,100.0,2025-11
2025-12-01,REPLAN0509,Extra,9000,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-12-01,REPLAN2708,Extra,14998,0,0,0,0,0,14998,14998,2025-12,1.0,100.0,2025-12
2025-12-01,THE PERFECT TOP - VARIAÇÕES,Extra,64918,0,0,0,0,3538,40268,43806,2025-12,1.0,100.0,2025-12
2025-12-01,THE PERFECT TOP - VARIA�ÕES,Extra,61380,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-01,UW FEMININA - NOVO DROP - Revisada,Extra,66346,0,0,0,0,8435,31513,39948,2025-12,1.0,100.0,2025-12
2025-12-01,Whateverproof / LifeProof,Extra,8642,0,0,0,0,7478,994,8472,2025-12,1.0,100.0,2025-12
2025-12-08,Alocação extra Adapt Fit,Extra,17600,250,0,0,250,0,6250,6250,2025-11,0.9857954545454546,98.6,2025-11
2025-12-08,BOLD 2 - Revisada,Extra,84506,53760,0,0,53760,23925,6821,30746,2026-01,0.3638321539298984,36.4,2026-01
2025-12-08,C012026B,Base,394640,5417,0,6072,13769,98014,183749,281763,2026-01,0.965109973646868,96.5,2026-01
2025-12-08,C022026,Base,361086,2042,0,5318,19253,49880,23073,67901,2026-02,0.946680292229552,94.7,2026-02
2025-12-08,C032026,Base,299397,2350,0,7901,16454,1500,23238,24738,2026-03,0.9450428695010304,94.5,2026-03
2025-12-08,C042026,Base,356484,0,0,0,0,0,0,0,2026-04,1.0,100.0,2026-04
2025-12-08,C112025,Base,709871,5849,0,2348,15080,80699,242245,322944,2025-11,0.9787567036827818,97.9,2025-11
2025-12-08,C122025,Base,536059,4760,0,7237,16643,101463,243226,344060,2025-12,0.9689530443477303,96.9,2025-12
2025-12-08,C2-Calcinhas_Red,Extra,7634,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-08,C2-Core-extra,Extra,6460,0,0,1681,3055,0,0,0,2026-02,0.5270897832817337,52.7,2026-02
2025-12-08,Café lab,Extra,16091,4347,0,0,4347,2503,2713,5216,2025-11,0.7298489839040457,73.0,2025-11
2025-12-08,EPA0212,Extra,4108,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-08,EPA0309,Extra,7860,0,0,0,0,2000,3806,5806,2025-12,1.0,100.0,2025-12
2025-12-08,EPA0512,Extra,168234,0,0,0,0,30000,0,30000,2026-03,1.0,100.0,2026-03
2025-12-08,EPA0711,Extra,37397,12496,0,353,14908,0,9252,9252,2026-01,0.6013583977324384,60.1,2026-01
2025-12-08,EPA0812,Extra,7902,652,0,0,652,0,0,0,2026-01,0.9174892432295622,91.7,2026-01
2025-12-08,EPA08TPT,Extra,29998,0,0,0,0,0,5999,5999,2025-11,1.0,100.0,2025-11
2025-12-08,EPA1011,Extra,16747,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-08,EPA1111,Extra,3476,0,0,452,766,0,0,0,2025-12,0.7796317606444189,78.0,2025-12
2025-12-08,EPA1112,Extra,6138,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-08,EPA1209,Extra,2368,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-12-08,EPA1211,Extra,283,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-08,EPA1212,Extra,4056,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-12-08,EPA1308,Extra,628,0,0,0,0,0,628,628,2025-11,1.0,100.0,2025-11
2025-12-08,EPA1311,Extra,400,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-12-08,EPA1411,Extra,3460,0,0,0,0,0,3460,3460,2025-12,1.0,100.0,2025-12
2025-12-08,EPA1510,Extra,17749,0,0,0,0,0,4927,4927,2026-01,1.0,100.0,2026-01
