snapshot_week,cycle_name,cycle_type,supplier_name,product_name,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Heavy Masculino,500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Heavy Slim Masculino,2000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Long Sleeve Feminino,3000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Long Sleeve Masculino,2012,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ARTIGO X,Boné Outdoors,1314,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ARTIGO X,Boné Sixx,2209,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Cueca Boxer Comfort Anti Suor Masculino,8855,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Cueca Boxer Comfort Simples Masculino,12129,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Cueca Boxer Performance Anti Suor Masculino,5582,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Cueca Boxer Performance Simples Masculino,2000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,NoHo Socks,2000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Skin Cropped Feminino,1000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Skin Cropped Long Sleeve Feminino,1000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,SneakIN Socks,3000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Tech T-shirt Gola U Masculino,3000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,Tech T-shirt High Neck Long Sleeve Feminino,3653,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BAE BRASIL,The Perfect Top Feminino,49508,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,BY COTTON,Tech T-shirt Gola U Masculino,44761,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,DALOP,Regata Intech Masculino,1692,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,DDAL,Daily T-shirt Masculino,3100,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,DDAL,Tech T-shirt Gola U Masculino,10021,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,DDAL,Wingsuit Feminino,1916,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,GOAT,Wingsuit Feminino,2694,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",Core T-Shirt Masculino,5643,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,INDÚSTRIA TEXTIL BETILHA LTDA,Shorts Kyoto Feminino,500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,KABRIOLLI,Calça FutureForm Feminino,750,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MALHAS D'STEFANO,Spectrum Socks High 2.0,11510,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MALHAS D'STEFANO,Spectrum Socks Low 2.0,6905,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MALHAS D'STEFANO,Spectrum Socks Mid 2.0,12526,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MAURA,Calça FutureForm Masculino,5040,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,MAURA,Saia Midi Kyoto Feminino,1248,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
